,pregunta_id,clasificacion_tipo,clasificacion
110,508,Bloque_mx,"Número, álgebra y variación"
111,508,Curso MX,Segundo de secundaria
112,508,Subtemas_mx,Resuelve problemas de proporcionalidad directa e inversa y de reparto proporcional.
113,508,Temas_mx,Proporcionalidad
114,508,Subtemas_mx,Resuelve problemas de potencias con exponente entero y aproxima raíces cuadradas.
115,508,Temas_mx,Multiplicación y división
116,508,Bloque_mx,"Número, álgebra y variación"
117,508,Curso MX,Segundo de secundaria
118,508,Subtemas_mx,Resuelve problemas de proporcionalidad directa e inversa y de reparto proporcional.
119,508,Temas_mx,Proporcionalidad
120,508,Bloque_mx,"Número, álgebra y variación"
121,508,Curso MX,Segundo de secundaria
122,524,actitud LGE,OA A
123,524,eje temático,Álgebra
124,524,habilidad cognitiva,Aplicación
125,524,suficiencia,no suficiencia
126,524,curso PSU,Tercero Medio
127,524,eje temático LGE,Álgebra y funciones
128,524,unidad LGE,Unidad 2
129,524,objetivo de aprendizaje,OA 4 
130,524,indicador LGE,"Resuelven algebraicamente las ecuaciones cuadráticas mediante varios métodos, como factorizar, completar al cuadrado y aplicar la fórmula."
131,524,habilidad cognitiva LGE,Resolver problemas
132,524,objetivo de aprendizaje,OA A 
133,524,dificultad,Media
134,524,curso,Segundo Medio
135,524,nivel 1 prueba de transición,Álgebra y funciones
136,524,nivel 2 prueba de transición,Ecuaciones de segundo grado
137,524,nivel 3 prueba de transición,Resolución de ecuaciones de segundo grado.
138,524,habilidad prueba de transición,Aplicar
139,524,dificultad,Fácil
140,524,Subtemas_mx,Resuelve problemas de potencias con exponente entero y aproxima raíces cuadradas.
141,524,Temas_mx,Multiplicación y división
142,524,Bloque_mx,"Número, álgebra y variación"
143,524,Curso MX,Segundo de secundaria
144,524,Subtemas_mx,Resuelve problemas de potencias con exponente entero y aproxima raíces cuadradas.
145,524,Temas_mx,Multiplicación y división
146,524,Bloque_mx,"Número, álgebra y variación"
147,524,Curso MX,Segundo de secundaria
148,524,Evidencias de aprendizaje_CO,Establece conjeturas apoyándose en las propiedades y relaciones de los números reales al resolver una situación problema.
149,524,Derechos básicos de aprendizaje_CO,Expresiones algebraicas con números reales
150,524,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
151,524,eje tematico colombia,Números y operaciones   
152,524,Evidencias de aprendizaje_CO,"Reconoce en expresiones algebraicas las variables, opera con ellas y sobre ellas"
153,524,Derechos básicos de aprendizaje_CO,"Expresiones numéricas, algebraicas o gráficas"
154,524,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
155,524,eje tematico colombia,Patrones y Álgebra   
156,524,Evidencias de aprendizaje_CO,Propone conjeturas sobre configuraciones geométricas o numéricas y las expresa verbal o simbólicamente.
157,524,Derechos básicos de aprendizaje_CO,"Problemas numéricos, geométricos y métricos"
158,540,componente,Componente numérico-variacional (9)
159,540,nivel colombia,Noveno
160,540,suficiencia,no suficiencia
161,540,dificultad,Difícil
162,540,nivel 1 prueba de transición,Álgebra y funciones
163,540,nivel 2 prueba de transición,Ecuaciones e inecuaciones de primer grado
164,540,nivel 3 prueba de transición,Resolución de ecuaciones lineales.
165,540,habilidad prueba de transición,Aplicar
166,540,dificultad,Media
167,543,dificultad,Difícil
168,543,suficiencia,no suficiencia
169,543,componente,Componente numérico-variacional (7)
170,543,nivel colombia,Séptimo
171,543,nivel 2 prueba de transición,Ecuaciones e inecuaciones de primer grado
172,543,nivel 1 prueba de transición,Álgebra y funciones
173,543,nivel 3 prueba de transición,Problemas que involucren ecuaciones lineales en diversos contextos.
174,543,habilidad prueba de transición,Aplicar
175,543,dificultad,Media
176,543,habilidad prueba de transición,Resolver problemas
177,543,curso,Octavo Básico
178,543,eje temático LGE,Álgebra y funciones
179,543,unidad LGE,Unidad 2
180,543,indicador LGE,"<p>Resuelven problemas cotidianos, utilizando ecuaciones e inecuaciones.</p>"
181,543,objetivo de aprendizaje,OA 8 
182,543,habilidad cognitiva LGE,Resolver problemas
183,543,objetivo de aprendizaje,OA A 
184,543,Evidencias de aprendizaje_CO,"Plantea modelos algebraicos, gráficos o numéricos en los que identifica las variables y sus rangos de variación"
185,543,Derechos básicos de aprendizaje_CO,Ecuaciones
186,543,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
187,543,eje tematico colombia,Patrones y Álgebra   
188,543,Evidencias de aprendizaje_CO,"Propone, ejecuta y argumenta la validez o no de procedimientos utilizados para resolver una ecuación lineal y sistemas de ecuaciones lineales"
189,543,Derechos básicos de aprendizaje_CO,Equivalencia e igualdad
190,543,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
191,543,eje tematico colombia,Números y operaciones   
192,543,Evidencias de aprendizaje_CO,Opera con formas simbólicas que representan cantidades.
193,543,Derechos básicos de aprendizaje_CO,"Expresiones numéricas, algebraicas o gráficas"
194,543,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
195,543,eje tematico colombia,Patrones y Álgebra   
196,543,Evidencias de aprendizaje_CO,"Interpreta expresiones numéricas, algebraicas o gráficas y toma decisiones con base en su interpretación."
197,560,suficiencia,no suficiencia
198,560,nivel 2 prueba de transición,Medidas de tendencia central y rango
199,560,nivel 3 prueba de transición,Problemas que involucren medidas de tendencia central y rango en diversos contextos.
200,560,nivel 1 prueba de transición,Probabilidad y estadística
201,560,Temas_mx,Estadística
202,560,Temas_mx,Estadística
203,560,Bloque_mx,Análisis de datos
204,560,Bloque_mx,Análisis de datos
205,560,dificultad,Media
206,560,habilidad prueba de transición,Comprender
207,959,eje temático,Geometría
208,959,habilidad cognitiva,Aplicación
209,959,suficiencia,no suficiencia
210,959,curso PSU,Tercero Medio
211,959,eje temático LGE,Álgebra y funciones
212,959,unidad LGE,Unidad 2
213,959,objetivo de aprendizaje,OA 10
214,959,indicador LGE,"<p>Elaboran, basados en los gráficos, la ecuación de la función afín $f(x) = a ? x + b$.</p>"
215,959,habilidad cognitiva LGE,Resolver problemas
216,959,objetivo de aprendizaje,OA A 
217,959,dificultad,Media
218,959,curso,Octavo Básico
219,959,nivel 1 prueba de transición,Geometría
220,959,nivel 2 prueba de transición,Geometría analítica en 2D
221,959,nivel 3 prueba de transición,Ecuación de una recta.
222,959,habilidad prueba de transición,Aplicar
223,959,Evidencias de aprendizaje_CO,"Toma decisiones informadas a partir de exploraciones numéricas, algebraicas o gráficas de los modelos matemáticos usados"
224,959,Derechos básicos de aprendizaje_CO,Ecuaciones
225,959,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
226,959,eje tematico colombia,Patrones y Álgebra   
227,959,Evidencias de aprendizaje_CO,Identifica la diferencia entre exactitud y aproximación en las diferentes representaciones de los números reales.
228,959,Derechos básicos de aprendizaje_CO,Números reales
229,959,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
230,959,eje tematico colombia,Números y operaciones   
231,959,Evidencias de aprendizaje_CO,Interpreta expresiones numéricas y toma decisiones con base en su interpretación.
232,959,Derechos básicos de aprendizaje_CO,"Problemas numéricos, geométricos y métricos"
233,959,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
234,959,eje tematico colombia,Patrones y Álgebra   
235,1074,suficiencia,no suficiencia
236,1074,dificultad,Media
237,1074,nivel 2 prueba de transición,Medidas de tendencia central y rango
238,1074,habilidad prueba de transición,"Analizar, sintetizar y evaluar"
239,1074,nivel 1 prueba de transición,Probabilidad y estadística
240,1074,Evidencias de aprendizaje_CO,"Calcula las medidas requeridas de acuerdo a los datos recolectados y usa, cuando sea posible, calculadoras o software adecuado."
241,1074,Derechos básicos de aprendizaje_CO,Información estadística
242,1074,Categoría organizadora_CO,Pensamiento Aleatorio y sistema de datos       
243,1074,eje tematico colombia,Datos y probabilidad
244,1074,Evidencias de aprendizaje_CO,"Describe el comportamiento de las características de dos o más poblaciones o de dos o más grupos de una población, a partir de las respectivas medidas de tendencia central y el rango."
245,1074,Derechos básicos de aprendizaje_CO,Tendencia central y rango
246,1074,Evidencias de aprendizaje_CO,"Encuentra e interpreta las medidas de tendencia central y el rango en datos agrupados, empleando herramientas tecnológicas cuando sea posible."
247,1074,Derechos básicos de aprendizaje_CO,"Histogramas, polígonos de frecuencia y gráficos para identificar variaciones, relaciones o tendencias"
248,1074,Categoría organizadora_CO,Pensamiento Aleatorio y sistema de datos       
249,1074,eje tematico colombia,Datos y probabilidad
250,1074,Evidencias de aprendizaje_CO,"Analiza la información presentada identificando variaciones, relaciones o tendencias y elabora conclusiones que permiten responder la pregunta planteada"
251,1074,Evidencias de aprendizaje_CO,"""Usa estrategias gráficas o numéricas para encontrar las medidas de tendencia central de un conjunto de datos agrupados"""
252,1074,Derechos básicos de aprendizaje_CO,Intervalos y medida de tendencia central
253,1074,Categoría organizadora_CO,Pensamiento Aleatorio y sistema de datos       
254,1074,eje tematico colombia,Datos y probabilidad
255,1074,Evidencias de aprendizaje_CO,Describe el comportamiento de los datos agrupados empleando las medidas de tendencia central y el rango.
256,1074,Evidencias de aprendizaje_CO,Reconoce cómo varían las medidas de tendencia central y el rango cuando varían los datos.
257,1074,nivel 3 prueba de transición,Problemas que involucren medidas de tendencia central y rango en diversos contextos.
258,1077,eje temático,Datos y azar
259,1077,habilidad cognitiva,Comprensión
260,1077,suficiencia,no suficiencia
261,1077,eje temático LGE,Probabilidad y estadística
262,1077,unidad LGE,Unidad 4
263,1077,objetivo de aprendizaje,OA 14 
264,1077,indicador LGE,Resuelven problemas de la vida diaria que involucran las reglas aditiva y multiplicativa.
265,1077,habilidad cognitiva LGE,Resolver problemas
266,1077,dificultad,Media
267,1077,curso,Primero Medio
268,1077,nivel 2 prueba de transición,Reglas de las probabilidades y probabilidad condicional
269,1077,habilidad prueba de transición,Aplicar
270,1077,nivel 1 prueba de transición,Probabilidad y estadística
271,1077,Evidencias de aprendizaje_CO,"Encuentra el número de posibles resultados de un experimento aleatorio usando métodos adecuados (diagramas de árbol, combinaciones, permutaciones, regla de la multiplicación, entre otros)."
272,1077,Derechos básicos de aprendizaje_CO,Experimentos aleatorios con y sin remplazo
273,1077,Categoría organizadora_CO,Pensamiento Aleatorio y sistema de datos       
274,1077,eje tematico colombia,Datos y probabilidad
275,1077,objetivo de aprendizaje,OA A 
276,1077,nivel 3 prueba de transición,Problemas que involucren la regla aditiva y multiplicativa de probabilidades en diversos contextos.
277,1309,suficiencia,no suficiencia
278,1309,eje temático LGE,Números
279,1309,unidad LGE,Unidad 1
280,1309,objetivo de aprendizaje,OA 1 
281,1309,indicador LGE,"Identifican el tipo de número, racional, entero y natural, y las operaciones involucradas."
282,1309,habilidad cognitiva LGE,Resolver problemas
283,1309,objetivo de aprendizaje,OA A 
284,1309,curso,Primero Medio
285,1309,nivel 1 prueba de transición,Números
286,1309,nivel 2 prueba de transición,"Conjunto de los números enteros, racionales y reales"
287,1309,nivel 3 prueba de transición,"Operaciones y orden en el conjunto de los números enteros, racionales y reales."
288,1309,habilidad prueba de transición,Aplicar
289,1309,Subtemas_mx,"Determina y usa la jerarquía de operaciones y los paréntesis en operaciones con números naturales, enteros y decimales (para multiplicación y división, solo números positivos)."
290,1309,Temas_mx,Multiplicación y división
291,1309,Bloque_mx,"Número, álgebra y variación"
292,1309,Curso MX,Primero de secundaria
293,1309,Subtemas_mx,"Resuelve problemas de suma y resta con números enteros, fracciones y decimales positivos y negativos."
294,1309,Temas_mx,Adición y sustracción
295,1309,dificultad,Media
296,1309,Evidencias de aprendizaje_CO,"Construye representaciones geométricas y numéricas de los números reales (con decimales, raíces, razones, entre otros) y realiza conversiones entre ellas."
297,1309,Derechos básicos de aprendizaje_CO,Números reales
298,1309,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
299,1309,eje tematico colombia,Números y operaciones   
300,1471,eje temático,Números
301,1471,habilidad cognitiva,"Análisis, Síntesis y Evaluación"
302,1471,suficiencia,no suficiencia
303,1471,curso PSU,Primero Medio
304,1471,eje temático LGE,Números
305,1471,unidad LGE,Unidad 1
306,1471,objetivo de aprendizaje,OA 1 
307,1471,indicador LGE,"Realizan operaciones mixtas con números racionales, respetando la jerarquía de las operaciones y los paréntesis."
308,1471,habilidad cognitiva LGE,Resolver problemas
309,1471,objetivo de aprendizaje,OA A 
310,1471,dificultad,Fácil
311,1471,curso,Primero Medio
312,1471,nivel 1 prueba de transición,Números
313,1471,nivel 2 prueba de transición,Porcentaje
314,1471,nivel 3 prueba de transición,Problemas que involucren porcentaje en diversos contextos.
315,1471,Subtemas_mx,"Determina y usa la jerarquía de operaciones y los paréntesis en operaciones con números naturales, enteros y decimales (para multiplicación y división, solo números positivos)."
316,1471,Temas_mx,Multiplicación y división
317,1471,Bloque_mx,"Número, álgebra y variación"
318,1471,Curso MX,Primero de secundaria
319,1471,Subtemas_mx,"Resuelve problemas de suma y resta con números enteros, fracciones y decimales positivos y negativos."
320,1471,Temas_mx,Adición y sustracción
321,1471,habilidad prueba de transición,Argumentar
322,1471,Evidencias de aprendizaje_CO,Considera el error que genera la aproximación de un número real a partir de números racionales.
323,1471,Derechos básicos de aprendizaje_CO,Números reales
324,1471,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
325,1471,eje tematico colombia,Números y operaciones   
326,1471,Evidencias de aprendizaje_CO,"Construye representaciones geométricas y numéricas de los números reales (con decimales, raíces, razones, entre otros) y realiza conversiones entre ellas."
327,1661,aprendizaje esperado,AE 04
328,1661,unidad LOCE,Álgebra
329,1661,eje temático,Álgebra
330,1661,habilidad cognitiva,"Análisis, Síntesis y Evaluación"
331,1661,suficiencia,no suficiencia
332,1661,curso PSU,Primero Medio
333,1661,eje temático LGE,Álgebra y funciones
334,1661,unidad LGE,Unidad 2
335,1661,objetivo de aprendizaje,OA 4 
336,1661,indicador LGE,Transforman ecuaciones de la forma ax + by = c a la forma y = – a b ? x + c b reconociendo la función afín.
337,1661,habilidad cognitiva LGE,Representar
338,1661,objetivo de aprendizaje,OA L 
339,1661,dificultad,Media
340,1661,curso,Primero Medio
341,1661,nivel 1 prueba de transición,Álgebra y funciones
342,1661,nivel 2 prueba de transición,Función lineal y afín
343,1661,nivel 3 prueba de transición,Problemas que involucren función lineal y función afín en diversos contextos.
344,1661,habilidad prueba de transición,Modelar
345,1661,Subtemas_mx,"Calcula valores faltantes en problemas de proporcionalidad directa, con constante natural, fracción o decimal (incluyendo tablas de variación)."
346,1661,Temas_mx,Proporcionalidad
347,1661,Bloque_mx,"Número, álgebra y variación"
348,1661,Curso MX,Primero de secundaria
349,1661,Subtemas_mx,"Calcula valores faltantes en problemas de proporcionalidad directa, con constante natural, fracción o decimal (incluyendo tablas de variación)."
350,1661,Temas_mx,Proporcionalidad
351,1661,Bloque_mx,"Número, álgebra y variación"
352,1661,Curso MX,Primero de secundaria
353,1661,Evidencias de aprendizaje_CO,"Propone, ejecuta y argumenta la validez o no de procedimientos utilizados para resolver una ecuación lineal y sistemas de ecuaciones lineales"
354,1661,Derechos básicos de aprendizaje_CO,Equivalencia e igualdad
355,1661,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
356,1661,eje tematico colombia,Números y operaciones   
357,1661,Evidencias de aprendizaje_CO,Opera con formas simbólicas que representan cantidades.
358,1661,Derechos básicos de aprendizaje_CO,"Expresiones numéricas, algebraicas o gráficas"
359,1661,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
360,1661,eje tematico colombia,Patrones y Álgebra   
361,1661,Evidencias de aprendizaje_CO,"Interpreta expresiones numéricas, algebraicas o gráficas y toma decisiones con base en su interpretación."
362,1661,Evidencias de aprendizaje_CO,"""Relaciona características algebraicas de las funciones, sus gráficas y procesos de aproximación sucesiva."""
363,1661,Derechos básicos de aprendizaje_CO,Funciones
364,1661,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
365,1661,eje tematico colombia,Patrones y Álgebra   
366,1662,aprendizaje esperado,AE 04
367,1662,unidad LOCE,Álgebra
368,1662,eje temático,Geometría
369,1662,habilidad cognitiva,Comprensión
370,1662,suficiencia,no suficiencia
371,1662,curso PSU,Tercero Medio
372,1662,eje temático LGE,Álgebra y funciones
373,1662,unidad LGE,Unidad 2
374,1662,objetivo de aprendizaje,OA 4 
375,1662,indicador LGE,Transforman ecuaciones de la forma ax + by = c a la forma y = – a b ? x + c b reconociendo la función afín.
376,1662,habilidad cognitiva LGE,Representar
377,1662,objetivo de aprendizaje,OA L 
378,1662,dificultad,Media
379,1662,curso,Primero Medio
380,1662,nivel 1 prueba de transición,Álgebra y funciones
381,1662,nivel 2 prueba de transición,Función lineal y afín
382,1662,nivel 3 prueba de transición,Problemas que involucren función lineal y función afín en diversos contextos.
383,1662,Subtemas_mx,"Calcula valores faltantes en problemas de proporcionalidad directa, con constante natural, fracción o decimal (incluyendo tablas de variación)."
384,1662,Temas_mx,Proporcionalidad
385,1662,Bloque_mx,"Número, álgebra y variación"
386,1662,Curso MX,Primero de secundaria
387,1662,habilidad prueba de transición,Resolver problemas
388,1662,Subtemas_mx,"Calcula valores faltantes en problemas de proporcionalidad directa, con constante natural, fracción o decimal (incluyendo tablas de variación)."
389,1662,Temas_mx,Proporcionalidad
390,1662,Bloque_mx,"Número, álgebra y variación"
391,1662,Curso MX,Primero de secundaria
392,1662,Evidencias de aprendizaje_CO,"Propone, ejecuta y argumenta la validez o no de procedimientos utilizados para resolver una ecuación lineal y sistemas de ecuaciones lineales"
393,1662,Derechos básicos de aprendizaje_CO,Equivalencia e igualdad
394,1662,Categoría organizadora_CO,Pensamiento Numérico y sistemas numéricos
395,1662,eje tematico colombia,Números y operaciones   
396,1662,Evidencias de aprendizaje_CO,Opera con formas simbólicas que representan cantidades.
397,1662,Derechos básicos de aprendizaje_CO,"Expresiones numéricas, algebraicas o gráficas"
398,1662,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
399,1662,eje tematico colombia,Patrones y Álgebra   
400,1662,Evidencias de aprendizaje_CO,"Interpreta expresiones numéricas, algebraicas o gráficas y toma decisiones con base en su interpretación."
401,1662,Evidencias de aprendizaje_CO,"""Relaciona características algebraicas de las funciones, sus gráficas y procesos de aproximación sucesiva."""
402,1662,Derechos básicos de aprendizaje_CO,Funciones
403,1662,Categoría organizadora_CO,Pensamiento Variacional y sistemas algorítmicos
404,1662,eje tematico colombia,Patrones y Álgebra   
405,1674,eje temático,Geometría
406,1674,habilidad cognitiva,"Análisis, Síntesis y Evaluación"
407,1674,suficiencia,no suficiencia
408,1674,curso PSU,Segundo Medio
409,1674,eje temático LGE,Geometría
410,1674,unidad LGE,Unidad 3
411,1674,objetivo de aprendizaje,OA 9 
412,1674,indicador LGE,"Resuelven problemas geométricos, de la vida diaria y de otras asignaturas, que involucran los teoremas de Tales n° 1 y n° 2."
413,1674,habilidad cognitiva LGE,Representar
414,1674,objetivo de aprendizaje,OA L 
415,1674,dificultad,Media
416,1674,curso,Primero Medio
417,1674,nivel 1 prueba de transición,Geometría
418,1674,nivel 2 prueba de transición,"Semejanza, proporcionalidad y homotecia de figuras planas"
419,1674,nivel 3 prueba de transición,Problemas que involucren el Teorema de Thales en diversos contextos.
420,1674,habilidad prueba de transición,Aplicar
421,1674,dificultad,Fácil
422,1674,Subtemas_mx,Formula expresiones algebraicas de primer grado a partir de sucesiones y las utiliza para analizar propiedades de la sucesión que representan.
423,1674,Temas_mx,"Patrones, figuras geométricas y expresiones equivalentes"
424,1674,Bloque_mx,"Número, álgebra y variación"
425,1674,Curso MX,Primero de secundaria
426,1674,Evidencias de aprendizaje_CO,Resuelve problemas utilizando teoremas básicos.
427,1674,Derechos básicos de aprendizaje_CO,Teoremas de figuras geométricas
428,1674,Categoría organizadora_CO,Espacial y sistemas geométricos     
429,1674,eje tematico colombia,Geometría
430,1674,Evidencias de aprendizaje_CO,Explica criterios de semejanza y congruencia a partir del Teorema de Thales.
431,1674,Derechos básicos de aprendizaje_CO,Regularidades de las figuras bidimensionales
432,1674,Categoría organizadora_CO,Espacial y sistemas geométricos     
433,1674,eje tematico colombia,Geometría
434,1800,suficiencia,suficiencia
435,1800,nivel 1 prueba de transición,Geometría
436,1800,nivel 2 prueba de transición,Transformaciones isométricas
437,1800,nivel 3 prueba de transición,"Rotación, traslación y reflexión de figuras geométricas."
438,1800,habilidad prueba de transición,"Analizar, sintetizar y evaluar"
439,1800,dificultad,Media
440,1800,Evidencias de aprendizaje_CO,"""Reconoce e interpreta la representación grafica de un objeto desde diferentes puntos de vista."""
441,1800,Derechos básicos de aprendizaje_CO,"Rotaciones, traslaciones y reflexiones de figuras tridimensionales"
442,1800,Categoría organizadora_CO,Espacial y sistemas geométricos     
443,1800,eje tematico colombia,Geometría
444,1800,Evidencias de aprendizaje_CO,Describe verbal y simbólicamente procesos de desplazamiento y trayectorias
445,1800,Derechos básicos de aprendizaje_CO,Posición y trayectoria
446,1800,Categoría organizadora_CO,Espacial y sistemas geométricos     
447,1800,eje tematico colombia,Geometría
448,1851,suficiencia,no suficiencia
449,1851,nivel 2 prueba de transición,Medidas de tendencia central y rango
450,1851,nivel 3 prueba de transición,Problemas que involucren medidas de tendencia central y rango en diversos contextos.
451,1851,habilidad prueba de transición,Comprender
452,1851,dificultad,Difícil
453,1851,nivel 1 prueba de transición,Probabilidad y estadística
454,1851,Evidencias de aprendizaje_CO,"Calcula las medidas requeridas de acuerdo a los datos recolectados y usa, cuando sea posible, calculadoras o software adecuado."
455,1851,Derechos básicos de aprendizaje_CO,Información estadística
456,1851,Categoría organizadora_CO,Pensamiento Aleatorio y sistema de datos       
457,1851,eje tematico colombia,Datos y probabilidad
458,1851,Evidencias de aprendizaje_CO,Comprende la diferencia entre la muestra y la población.
459,1851,Derechos básicos de aprendizaje_CO,Tendencia central y rango
460,1851,Evidencias de aprendizaje_CO,"Describe el comportamiento de las características de dos o más poblaciones o de dos o más grupos de una población, a partir de las respectivas medidas de tendencia central y el rango."
